logMdot 	 Edot/LEdd    	 log10(Ts)   
17.40   	 1.01302123  	 7.13596545 
17.50   	 1.01393439  	 7.18133722 
17.60   	 1.01489056  	 7.22085717 
17.70   	 1.01604429  	 7.25217621 
17.80   	 1.01739923  	 7.27472014 
17.90   	 1.01874120  	 7.28920481 
18.00   	 1.02004393  	 7.29553000 
18.10   	 1.02125300  	 7.29392151 
18.20   	 1.02228121  	 7.28477608 
18.30   	 1.02307573  	 7.26838929 
18.40   	 1.02358279  	 7.24509988 
18.50   	 1.02377852  	 7.21525274 
18.60   	 1.02366989  	 7.17949733 
18.70   	 1.02332225  	 7.13971551 
18.80   	 1.02283114  	 7.09820733 
18.90   	 1.02227531  	 7.05645117 
19.00   	 1.02172301  	 7.01569418 
