logMdot 	 Edot/LEdd    	 log10(Ts)   
17.20   	 1.01702927  	 7.16406476 
17.30   	 1.01785168  	 7.21417298 
17.40   	 1.01880510  	 7.25446344 
17.45   	 1.01932662  	 7.27098145 
17.50   	 1.01987259  	 7.28517270 
17.60   	 1.02101806  	 7.30692290 
17.70   	 1.02217962  	 7.32052798 
17.80   	 1.02329391  	 7.32667888 
17.90   	 1.02428858  	 7.32591295 
18.00   	 1.02509766  	 7.31858941 
18.10   	 1.02567085  	 7.30492833 
18.20   	 1.02597450  	 7.28507097 
18.30   	 1.02599366  	 7.25912496 
18.40   	 1.02573091  	 7.22720662 
18.50   	 1.02520393  	 7.18947859 
18.60   	 1.02444394  	 7.14623906 
18.70   	 1.02350404  	 7.09830399 
18.80   	 1.02248022  	 7.04780575 
18.90   	 1.02146675  	 6.99697094 
19.00   	 1.02051943  	 6.94709169 
