logMdot 	 Edot/LEdd    	 log10(Ts)   
19.00   	 1.02129237  	 7.01710740 
18.90   	 1.02188049  	 7.05771421 
18.80   	 1.02249902  	 7.09923056 
18.70   	 1.02308646  	 7.14043141 
18.60   	 1.02356805  	 7.17979573 
18.50   	 1.02384991  	 7.21503016 
18.40   	 1.02386286  	 7.24425089 
18.30   	 1.02359013  	 7.26679573 
18.20   	 1.02304229  	 7.28230782 
18.10   	 1.02225261  	 7.29044808 
18.00   	 1.02127631  	 7.29083156 
17.90   	 1.02018366  	 7.28301603 
17.80   	 1.01904602  	 7.26656734 
17.70   	 1.01793749  	 7.24109884 
